AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
7/10/14,13:16:00,867053,815608,6.117,48,34,0,100,3860,,,
7/10/14,13:16:30,867010,815431,6.133,48,34,0,100,3963,,,
7/10/14,13:17:00,867018,815349,6.144,48,34,0,100,2598,,,
7/10/14,13:17:30,867071,815296,6.157,48,34,0,100,2985,,,
7/10/14,13:18:00,866993,815129,6.168,48,34,0,100,2719,,,
7/10/14,13:18:30,866968,814998,6.182,48,34,0,100,3121,,,
7/10/14,13:19:00,866999,814918,6.195,48,34,0,100,3169,,,
7/10/14,13:19:30,866948,814758,6.209,49,34,0,100,3189,,,
7/10/14,13:20:00,866952,814655,6.222,48,34,0,100,3101,,,
7/10/14,13:20:30,866929,814520,6.236,48,34,0,100,3294,,,
7/10/14,13:21:00,866873,814355,6.25,49,34,0,100,3199,,,
7/10/14,13:21:30,866875,814242,6.264,48,34,0,100,3339,,,
7/10/14,13:22:00,866856,814101,6.279,48,34,0,100,3580,,,
7/10/14,13:22:30,866808,813935,6.294,48,34,0,100,3516,,,
7/10/14,13:23:00,866864,813864,6.309,48,34,0,100,3593,,,
7/10/14,13:23:30,866837,813723,6.323,48,34,0,100,3363,,,
7/10/14,13:24:00,866833,813601,6.338,48,34,0,100,3439,,,
7/10/14,13:24:30,866876,813518,6.353,49,34,0,100,3515,,,
7/10/14,13:25:00,866818,813340,6.368,48,34,0,100,3595,,,
7/10/14,13:25:30,866830,813225,6.384,48,34,0,100,3674,,,
7/10/14,13:26:00,866771,813050,6.398,49,34,0,100,3411,,,
7/10/14,13:26:30,866774,812926,6.414,48,34,0,100,3692,,,
7/10/14,13:27:00,866812,812841,6.429,48,34,0,100,3512,,,
7/10/14,13:27:30,866805,812715,6.443,48,34,0,100,3478,,,
7/10/14,13:28:00,866841,812626,6.458,49,34,0,100,3502,,,
7/10/14,13:28:30,866831,812490,6.474,49,34,0,100,3613,,,
7/10/14,13:29:00,866788,812326,6.489,48,34,0,100,3604,,,
7/10/14,13:29:30,866765,812182,6.504,48,34,0,100,3568,,,
7/10/14,13:30:00,866773,812067,6.519,48,34,0,100,3570,,,
7/10/14,13:30:30,866816,811987,6.534,49,34,0,100,3434,,,
