time [s],minute_ventilation_raw [ml/min] (/api/datatype/36/)
7245.00000000,2934.88000
7246.00000000,2934.88000
7247.00000000,2934.88000
7248.00000000,2934.88000
7249.00000000,2934.88000
7250.00000000,2934.88000
7251.00000000,2934.88000
7252.00000000,2934.88000
7253.00000000,2934.88000
7254.00000000,2934.88000
7255.00000000,2934.88000
7256.00000000,2934.88000
7257.00000000,2934.88000
7258.00000000,2934.88000
7259.00000000,2934.88000
7260.00000000,2934.88000
7261.00000000,2934.88000
7262.00000000,2934.88000
7263.00000000,2257.60000
7264.00000000,2257.60000
7265.00000000,2257.60000
7266.00000000,2257.60000
7267.00000000,2257.60000
7268.00000000,2257.60000
7269.00000000,2058.40000
7270.00000000,2058.40000
7271.00000000,2058.40000
7272.00000000,2058.40000
7273.00000000,2151.36000
7274.00000000,2151.36000
7275.00000000,2151.36000
7276.00000000,2151.36000
7277.00000000,2151.36000
7278.00000000,2151.36000
7279.00000000,2151.36000
7280.00000000,2151.36000
7281.00000000,2151.36000
7282.00000000,2151.36000
7283.00000000,2151.36000
7284.00000000,2151.36000
7285.00000000,2151.36000
7286.00000000,2151.36000
7287.00000000,2151.36000
7288.00000000,2151.36000
7289.00000000,2151.36000
7290.00000000,2151.36000
7291.00000000,2151.36000
7292.00000000,2151.36000
7293.00000000,2151.36000
7294.00000000,2151.36000
7295.00000000,2151.36000
7296.00000000,2151.36000
7297.00000000,2151.36000
7298.00000000,2151.36000
7299.00000000,2151.36000
7300.00000000,2151.36000
7301.00000000,2151.36000
7302.00000000,2151.36000
7303.00000000,2151.36000
7304.00000000,1580.32000
7305.00000000,1580.32000
7306.00000000,1580.32000
7307.00000000,1580.32000
7308.00000000,1580.32000
7309.00000000,1580.32000
7310.00000000,1580.32000
7311.00000000,1580.32000
7312.00000000,1580.32000
7313.00000000,1580.32000
7314.00000000,1580.32000
7315.00000000,1580.32000
7316.00000000,1580.32000
7317.00000000,1580.32000
7318.00000000,1580.32000
7319.00000000,1580.32000
7320.00000000,1580.32000
7321.00000000,1580.32000
7322.00000000,1580.32000
7323.00000000,1580.32000
7324.00000000,1580.32000
7325.00000000,1580.32000
7326.00000000,1580.32000
7327.00000000,1580.32000
7328.00000000,1328.00000
7329.00000000,1328.00000
7330.00000000,1328.00000
7331.00000000,1328.00000
7332.00000000,1328.00000
7333.00000000,1328.00000
7334.00000000,1328.00000
7335.00000000,1328.00000
7336.00000000,1328.00000
7337.00000000,1328.00000
7338.00000000,1248.32000
7339.00000000,1248.32000
7340.00000000,1248.32000
7341.00000000,1248.32000
7342.00000000,1248.32000
7343.00000000,1248.32000
7344.00000000,1248.32000
7345.00000000,1248.32000
7346.00000000,1248.32000
7347.00000000,1314.72000
7348.00000000,1314.72000
7349.00000000,1314.72000
7350.00000000,1314.72000
7351.00000000,1314.72000
7352.00000000,1314.72000
7353.00000000,1314.72000
7354.00000000,1314.72000
7355.00000000,1314.72000
7356.00000000,1314.72000
7357.00000000,1314.72000
7358.00000000,1314.72000
7359.00000000,1314.72000
7360.00000000,1314.72000
7361.00000000,1314.72000
7362.00000000,1314.72000
7363.00000000,1354.56000
7364.00000000,1354.56000
7365.00000000,1354.56000
7366.00000000,1354.56000
7367.00000000,1354.56000
7368.00000000,1354.56000
7369.00000000,1354.56000
7370.00000000,1354.56000
7371.00000000,1354.56000
7372.00000000,1354.56000
7373.00000000,1128.80000
7374.00000000,1128.80000
7375.00000000,1128.80000
7376.00000000,1128.80000
7377.00000000,889.76000
7378.00000000,889.76000
7379.00000000,889.76000
7380.00000000,889.76000
7381.00000000,889.76000
7382.00000000,889.76000
7383.00000000,889.76000
7384.00000000,889.76000
7385.00000000,889.76000
7386.00000000,889.76000
7387.00000000,889.76000
7388.00000000,889.76000
7389.00000000,889.76000
7390.00000000,889.76000
7391.00000000,889.76000
7392.00000000,1009.28000
7393.00000000,1009.28000
7394.00000000,1009.28000
7395.00000000,1009.28000
7396.00000000,1009.28000
7397.00000000,1009.28000
7398.00000000,1009.28000
7399.00000000,1075.68000
7400.00000000,1075.68000
7401.00000000,1075.68000
7402.00000000,1075.68000
7403.00000000,1075.68000
7404.00000000,1075.68000
7405.00000000,1075.68000
7406.00000000,1075.68000
7407.00000000,1075.68000
7408.00000000,1075.68000
7409.00000000,1075.68000
7410.00000000,1075.68000
7411.00000000,1075.68000
7412.00000000,1075.68000
7413.00000000,916.32000
7414.00000000,916.32000
7415.00000000,916.32000
7416.00000000,916.32000
7417.00000000,916.32000
7418.00000000,916.32000
7419.00000000,916.32000
7420.00000000,916.32000
7421.00000000,916.32000
7422.00000000,916.32000
7423.00000000,916.32000
7424.00000000,916.32000
7425.00000000,916.32000
7426.00000000,916.32000
7427.00000000,929.60000
7428.00000000,929.60000
7429.00000000,929.60000
7430.00000000,929.60000
7431.00000000,929.60000
7432.00000000,929.60000
7433.00000000,929.60000
7434.00000000,929.60000
7435.00000000,929.60000
7436.00000000,929.60000
7437.00000000,929.60000
7438.00000000,929.60000
7439.00000000,929.60000
7440.00000000,929.60000
7441.00000000,1288.16000
7442.00000000,1288.16000
7443.00000000,1288.16000
7444.00000000,1288.16000
7445.00000000,1288.16000
7446.00000000,1288.16000
7447.00000000,1341.28000
7448.00000000,1341.28000
7449.00000000,1341.28000
7450.00000000,1341.28000
7451.00000000,1341.28000
7452.00000000,1341.28000
7453.00000000,1341.28000
7454.00000000,1341.28000
7455.00000000,1673.28000
7456.00000000,1673.28000
7457.00000000,1673.28000
7458.00000000,1673.28000
7459.00000000,1673.28000
7460.00000000,1673.28000
7461.00000000,1673.28000
7462.00000000,1673.28000
7463.00000000,1673.28000
7464.00000000,1726.40000
7465.00000000,1726.40000
7466.00000000,1726.40000
7467.00000000,1726.40000
7468.00000000,1726.40000
7469.00000000,1726.40000
7470.00000000,1726.40000
7471.00000000,1726.40000
7472.00000000,1726.40000
7473.00000000,1726.40000
7474.00000000,1726.40000
7475.00000000,1726.40000
7476.00000000,1713.12000
7477.00000000,1713.12000
7478.00000000,1713.12000
7479.00000000,1713.12000
7480.00000000,1713.12000
7481.00000000,1965.44000
7482.00000000,1965.44000
7483.00000000,1965.44000
7484.00000000,1965.44000
7485.00000000,1965.44000
7486.00000000,1965.44000
7487.00000000,1965.44000
7488.00000000,1965.44000
7489.00000000,1965.44000
7490.00000000,1938.88000
7491.00000000,1938.88000
7492.00000000,1938.88000
7493.00000000,1938.88000
7494.00000000,1938.88000
7495.00000000,1938.88000
7496.00000000,1766.24000
7497.00000000,1766.24000
7498.00000000,1766.24000
7499.00000000,1766.24000
7500.00000000,1952.16000
7501.00000000,1952.16000
7502.00000000,1952.16000
7503.00000000,1952.16000
7504.00000000,1952.16000
7505.00000000,1952.16000
7506.00000000,1952.16000
7507.00000000,1952.16000
7508.00000000,1952.16000
7509.00000000,1952.16000
7510.00000000,1952.16000
7511.00000000,1952.16000
7512.00000000,1952.16000
7513.00000000,2124.80000
7514.00000000,2124.80000
7515.00000000,2124.80000
7516.00000000,2124.80000
7517.00000000,2124.80000
7518.00000000,2509.92000
7519.00000000,2509.92000
7520.00000000,2509.92000
7521.00000000,2509.92000
7522.00000000,2775.52000
7523.00000000,2775.52000
7524.00000000,2775.52000
7525.00000000,4116.80000
7526.00000000,4116.80000
7527.00000000,4116.80000
7528.00000000,4674.56000
7529.00000000,4674.56000
7530.00000000,4674.56000
7531.00000000,4674.56000
7532.00000000,4674.56000
7533.00000000,4634.72000
7534.00000000,4634.72000
7535.00000000,4634.72000
7536.00000000,4634.72000
7537.00000000,4634.72000
7538.00000000,4634.72000
7539.00000000,4634.72000
7540.00000000,4634.72000
7541.00000000,4634.72000
7542.00000000,4634.72000
7543.00000000,4634.72000
7544.00000000,4634.72000
7545.00000000,4634.72000
7546.00000000,3333.28000
7547.00000000,3333.28000
7548.00000000,3333.28000
7549.00000000,3333.28000
7550.00000000,4435.52000
7551.00000000,4435.52000
7552.00000000,4435.52000
7553.00000000,4435.52000
7554.00000000,4435.52000
7555.00000000,4435.52000
7556.00000000,4435.52000
7557.00000000,4435.52000
7558.00000000,4435.52000
7559.00000000,4435.52000
7560.00000000,4435.52000
7561.00000000,4435.52000
7562.00000000,4435.52000
7563.00000000,4435.52000
7564.00000000,4435.52000
7565.00000000,3784.80000
7566.00000000,3784.80000
7567.00000000,3784.80000
7568.00000000,3784.80000
7569.00000000,3784.80000
7570.00000000,3784.80000
7571.00000000,3784.80000
7572.00000000,3784.80000
7573.00000000,3784.80000
7574.00000000,3784.80000
7575.00000000,3784.80000
7576.00000000,3784.80000
7577.00000000,3784.80000
7578.00000000,3784.80000
7579.00000000,3784.80000
7580.00000000,3784.80000
7581.00000000,3784.80000
7582.00000000,3001.28000
7583.00000000,3001.28000
7584.00000000,3001.28000
7585.00000000,3001.28000
7586.00000000,3001.28000
7587.00000000,2589.60000
7588.00000000,2589.60000
7589.00000000,2589.60000
7590.00000000,2589.60000
7591.00000000,2589.60000
7592.00000000,2589.60000
7593.00000000,2589.60000
7594.00000000,2589.60000
7595.00000000,2523.20000
7596.00000000,2523.20000
7597.00000000,2523.20000
7598.00000000,2523.20000
7599.00000000,2523.20000
7600.00000000,2523.20000
7601.00000000,2523.20000
7602.00000000,2523.20000
7603.00000000,2496.64000
7604.00000000,2496.64000
7605.00000000,2496.64000
7606.00000000,3187.20000
7607.00000000,3187.20000
7608.00000000,3187.20000
7609.00000000,3187.20000
7610.00000000,3187.20000
7611.00000000,3187.20000
7612.00000000,3187.20000
7613.00000000,3187.20000
7614.00000000,3187.20000
7615.00000000,3187.20000
7616.00000000,3187.20000
7617.00000000,2430.24000
7618.00000000,2430.24000
7619.00000000,2430.24000
7620.00000000,2430.24000
7621.00000000,2430.24000
7622.00000000,2430.24000
7623.00000000,2616.16000
7624.00000000,2616.16000
7625.00000000,2616.16000
7626.00000000,2616.16000
7627.00000000,2616.16000
7628.00000000,2616.16000
7629.00000000,2616.16000
7630.00000000,2616.16000
7631.00000000,3107.52000
7632.00000000,3107.52000
7633.00000000,3107.52000
7634.00000000,3107.52000
7635.00000000,3107.52000
7636.00000000,3107.52000
7637.00000000,3107.52000
7638.00000000,3107.52000
7639.00000000,3107.52000
7640.00000000,3107.52000
7641.00000000,3107.52000
7642.00000000,3107.52000
7643.00000000,3107.52000
7644.00000000,3107.52000
7645.00000000,3107.52000
7646.00000000,3107.52000
7647.00000000,3107.52000
7648.00000000,2509.92000
7649.00000000,2509.92000
7650.00000000,2509.92000
7651.00000000,2509.92000
7652.00000000,2509.92000
7653.00000000,2509.92000
7654.00000000,2509.92000
7655.00000000,2509.92000
7656.00000000,2509.92000
7657.00000000,2509.92000
7658.00000000,2138.08000
7659.00000000,2138.08000
7660.00000000,2138.08000
7661.00000000,2138.08000
7662.00000000,2138.08000
7663.00000000,2138.08000
7664.00000000,2138.08000
7665.00000000,2138.08000
7666.00000000,2138.08000
7667.00000000,2138.08000
7668.00000000,2138.08000
7669.00000000,2138.08000
7670.00000000,2138.08000
7671.00000000,2138.08000
7672.00000000,2138.08000
7673.00000000,1872.48000
7674.00000000,1872.48000
7675.00000000,1872.48000
7676.00000000,1872.48000
7677.00000000,1872.48000
7678.00000000,1872.48000
7679.00000000,1872.48000
7680.00000000,1872.48000
7681.00000000,1447.52000
7682.00000000,1447.52000
7683.00000000,1447.52000
7684.00000000,1447.52000
7685.00000000,1500.64000
7686.00000000,1500.64000
7687.00000000,1500.64000
7688.00000000,1500.64000
7689.00000000,1500.64000
7690.00000000,1500.64000
7691.00000000,1500.64000
7692.00000000,1500.64000
7693.00000000,1341.28000
7694.00000000,1341.28000
7695.00000000,1341.28000
7696.00000000,1341.28000
7697.00000000,1341.28000
7698.00000000,1341.28000
7699.00000000,1341.28000
7700.00000000,1261.60000
7701.00000000,1261.60000
7702.00000000,1261.60000
7703.00000000,1261.60000
7704.00000000,1261.60000
7705.00000000,1261.60000
7706.00000000,1261.60000
7707.00000000,1261.60000
7708.00000000,1394.40000
7709.00000000,1394.40000
7710.00000000,1394.40000
7711.00000000,1394.40000
7712.00000000,1447.52000
7713.00000000,1447.52000
7714.00000000,1447.52000
7715.00000000,1447.52000
7716.00000000,1447.52000
7717.00000000,1447.52000
7718.00000000,1567.04000
7719.00000000,1567.04000
7720.00000000,1567.04000
7721.00000000,1567.04000
7722.00000000,1567.04000
7723.00000000,1567.04000
7724.00000000,1567.04000
7725.00000000,1660.00000
7726.00000000,1660.00000
7727.00000000,1660.00000
7728.00000000,1660.00000
7729.00000000,1660.00000
7730.00000000,1660.00000
7731.00000000,1660.00000
7732.00000000,1660.00000
7733.00000000,1660.00000
7734.00000000,1660.00000
7735.00000000,1660.00000
7736.00000000,1540.48000
7737.00000000,1540.48000
7738.00000000,1540.48000
7739.00000000,1540.48000
7740.00000000,1540.48000
7741.00000000,1540.48000
7742.00000000,1540.48000
7743.00000000,1540.48000
7744.00000000,1540.48000
7745.00000000,1660.00000
7746.00000000,1660.00000
7747.00000000,1660.00000
7748.00000000,1660.00000
7749.00000000,1660.00000
7750.00000000,1660.00000
7751.00000000,1660.00000
7752.00000000,1553.76000
7753.00000000,1553.76000
7754.00000000,1553.76000
7755.00000000,1553.76000
7756.00000000,1553.76000
7757.00000000,1553.76000
7758.00000000,1553.76000
7759.00000000,1553.76000
7760.00000000,1553.76000
7761.00000000,1553.76000
7762.00000000,1553.76000
7763.00000000,1553.76000
7764.00000000,1553.76000
7765.00000000,1553.76000
7766.00000000,1500.64000
7767.00000000,1500.64000
7768.00000000,1500.64000
7769.00000000,1500.64000
7770.00000000,1500.64000
7771.00000000,1500.64000
7772.00000000,1500.64000
7773.00000000,1500.64000
7774.00000000,1500.64000
7775.00000000,1500.64000
7776.00000000,1553.76000
7777.00000000,1553.76000
7778.00000000,1553.76000
7779.00000000,1553.76000
7780.00000000,1593.60000
7781.00000000,1593.60000
7782.00000000,1593.60000
7783.00000000,1593.60000
7784.00000000,1593.60000
7785.00000000,1633.44000
7786.00000000,1633.44000
7787.00000000,1633.44000
7788.00000000,1633.44000
7789.00000000,1633.44000
7790.00000000,1925.60000
7791.00000000,1925.60000
7792.00000000,1925.60000
7793.00000000,1925.60000
7794.00000000,1925.60000
7795.00000000,1925.60000
7796.00000000,1925.60000
7797.00000000,1925.60000
7798.00000000,1832.64000
7799.00000000,1832.64000
7800.00000000,1832.64000
7801.00000000,1832.64000
7802.00000000,1832.64000
7803.00000000,1832.64000
7804.00000000,1832.64000
7805.00000000,1832.64000
7806.00000000,2005.28000
7807.00000000,2005.28000
7808.00000000,2005.28000
7809.00000000,2284.16000
7810.00000000,2284.16000
7811.00000000,2284.16000
7812.00000000,2284.16000
7813.00000000,2284.16000
7814.00000000,2284.16000
7815.00000000,2284.16000
7816.00000000,2602.88000
7817.00000000,2602.88000
7818.00000000,2602.88000
7819.00000000,2695.84000
7820.00000000,2695.84000
7821.00000000,2695.84000
7822.00000000,2695.84000
7823.00000000,2695.84000
7824.00000000,2695.84000
7825.00000000,2695.84000
7826.00000000,2695.84000
7827.00000000,2695.84000
7828.00000000,2695.84000
7829.00000000,2695.84000
7830.00000000,2695.84000
7831.00000000,2695.84000
7832.00000000,2695.84000
7833.00000000,2682.56000
7834.00000000,2682.56000
7835.00000000,2682.56000
7836.00000000,2682.56000
7837.00000000,2682.56000
7838.00000000,2682.56000
7839.00000000,2722.40000
7840.00000000,2722.40000
7841.00000000,2722.40000
7842.00000000,2722.40000
7843.00000000,2722.40000
7844.00000000,2974.72000
7845.00000000,2974.72000
