time [s],inspiration_epoch [na] (/api/datatype/34/)
899.00000000,16190
903.00000000,16189
907.00000000,16187
912.00000000,16187
916.00000000,16186
920.00000000,16186
925.00000000,16185
929.00000000,16184
935.00000000,16185
939.00000000,16184
943.00000000,16184
948.00000000,16185
952.00000000,16185
956.00000000,16184
960.00000000,16183
965.00000000,16183
968.00000000,16183
972.00000000,16182
977.00000000,16181
981.00000000,16221
988.00000000,16104
990.00000000,16115
994.00000000,16105
1000.00000000,16124
1005.00000000,16140
1011.00000000,16189
1015.00000000,16269
1018.00000000,16154
1022.00000000,16186
1023.00000000,16150
1026.00000000,16215
1033.00000000,16127
1036.00000000,16129
1040.00000000,16114
1043.00000000,16114
1046.00000000,16122
1048.00000000,16168
1051.00000000,16110
1052.00000000,16105
1054.00000000,16105
1055.00000000,16119
1056.00000000,16120
1058.00000000,16116
1059.00000000,16117
1060.00000000,16100
1062.00000000,16098
1063.00000000,16103
1067.00000000,16118
1068.00000000,16116
1070.00000000,16115
1071.00000000,16121
1075.00000000,16280
1079.00000000,16274
1081.00000000,16271
1085.00000000,16265
1088.00000000,16266
1090.00000000,16263
1092.00000000,16256
1098.00000000,16260
1101.00000000,16259
1103.00000000,16259
1106.00000000,16256
1110.00000000,16253
1112.00000000,16249
1118.00000000,16249
1120.00000000,16252
1124.00000000,16251
